green,red,IR,acc_x,acc_y,acc_z,sample_index
107548,207311,269668,-0.095712904,3.9110685397,9.0891366461,343
108030,207410,269698,-0.0538385085,3.8117664018,9.164510558,344
108526,207460,269751,0.0071784678,3.8751762007000004,9.0699940653,345
109045,207478,269855,-0.095712904,3.8392838617,9.1896351953,346
109589,207538,269875,-0.19381863059999999,3.8344982165,9.162117735399999,347
110151,207585,269863,-0.20937197749999997,3.9397824109,9.207581364800001,348
110673,207755,269958,-0.2739781877,3.7734812402,9.0915294687,349
111008,207936,270081,-0.0693918554,3.8847474911,9.080761767,350
110304,208014,270204,0.040677984199999996,3.9708891047,9.0017986212,351
108713,207844,270178,-0.1734796385,3.7758740628,9.095118702599999,352
107120,207594,269954,-0.6747759731999999,3.8237305148,9.006584266399999,353
105993,207410,269734,-0.1220339526,3.8560336199000003,9.109475638200001,354
105434,207245,269693,-0.1519442351,3.9517465239000003,9.1118684608,355
105299,207082,269668,-0.2297109696,3.7902309983999998,9.1334038642,356
105563,207111,269584,-0.1531406464,3.9014972492999997,9.0831545896,357
106000,207090,269575,-0.1507478238,3.8967116041,9.0999043478,358
106427,207235,269634,-0.0741775006,3.9637106368999997,9.0400837828,359
106788,207252,269622,-0.2285145583,3.9026936606000002,9.0867438235,360
107075,207274,269638,-0.1962114532,3.8261233374,9.1357966868,361
107314,207354,269724,-0.23928226,3.7866417645,9.1262253964,362
107706,207329,269718,-0.2009970984,3.8021951114,9.1836531388,363
108065,207374,269782,-0.11844471869999999,3.9194434188,9.1130648721,364
108511,207333,269751,-0.1387837108,3.8871403137,9.0855474122,365
108979,207440,269812,-0.23928226,3.888336725,9.128618219,366
109455,207568,269809,-0.1459621786,3.8548372086000002,9.0855474122,367
109793,207658,269950,-0.0945164927,3.8835510798,9.1477607998,368
109209,207757,270012,-0.015553346899999999,3.9182470075,9.0496550732,369
107593,207586,269952,-0.011964113,3.9254254753,9.1022971704,370
105953,207364,269762,-0.20937197749999997,3.9649070482,9.1465643885,371
104690,207185,269658,-0.1926222193,3.8261233374,9.1716890258,372
104026,207034,269556,-0.059820565,3.8141592244,9.0699940653,373
103641,206939,269484,-0.1543370577,3.8261233374,9.056833541,374
103887,206918,269422,-0.2679961312,3.7423745464,9.0616191862,375
104274,206889,269414,-0.0777667345,3.7447673690000003,9.1369930981,376
104580,206963,269429,-0.2021935097,3.8153556357,9.1932244292,377
105021,206937,269403,-0.059820565,3.8452659182,9.1429751546,378
105278,207040,269503,-0.1639083481,3.7435709577,9.1238325738,379
105526,207042,269498,-0.0059820565,3.7794632967,9.0879402348,380
105859,207043,269460,-0.0035892339,3.8081771679,9.1513500337,381
106205,207048,269507,-0.21296121140000002,3.7962130549,9.140582332,382
106659,207111,269496,-0.143569356,3.7423745464,9.1908316066,383
107111,207120,269540,-0.0681954441,3.8452659182,9.1896351953,384
107630,207173,269570,-0.12083754129999999,3.8237305148,9.054440718399999,385
108046,207105,269560,-0.2021935097,4.2508493489,9.0867438235,386
108400,207046,269409,-0.0251246373,3.9900316855,9.037690960199999,387
107969,206960,269445,0.0741775006,3.8991044267,9.0317089037,388
106280,206860,269318,-0.2883351233,3.9720855159999995,9.064012008799999,389
104183,206485,269135,-0.1052841944,3.8069807566000002,9.0999043478,390
102476,206309,268902,-0.1974078645,3.7531422481,9.1549392676,391
101339,206072,268776,-0.1698904046,3.9397824109,9.1058864043,392
100723,205923,268622,-0.18783657410000001,3.8668013215999997,9.1872423727,393
100645,205835,268610,-0.251246373,3.8739797894,9.116654106,394
100952,205932,268602,-0.17706887240000002,3.7100714413,9.0592263636,395
101452,205971,268661,-0.0753739119,3.8500515634,9.1238325738,396
101930,206047,268727,0.0646062102,3.9302111204999997,9.032905315,397
102379,206191,268837,-0.1734796385,3.9684962821,9.080761767,398
102795,206317,268964,-0.33140593009999997,3.9409788222,9.0496550732,399
103256,206452,269059,-0.1351944769,3.7998022888,9.050851484499999,400
103774,206546,269144,-0.2021935097,3.8153556357,9.064012008799999,401
104231,206590,269244,-0.16151552549999998,3.8548372086000002,9.178867493599999,402
104902,206662,269295,-0.2117648001,3.7902309983999998,9.0879402348,403
105508,206744,269382,-0.2883351233,3.8404802730000003,9.064012008799999,404
106122,206839,269457,-0.09690931529999999,3.8955151927999996,9.1022971704,405
106698,206925,269511,-0.17587246110000002,3.8691941442,9.131011041599999,406
107144,207072,269665,-0.062213387599999996,3.82851616,9.0855474122,407
106444,207091,269744,-0.11964113,3.8775690233,9.0915294687,408
104670,206929,269602,-0.0526420972,3.9445680561,9.1465643885,409
102764,206648,269365,-0.1256231865,3.8237305148,9.1716890258,410
